session_id,trial_idx,initial_error_deg,ballistic_error_deg,min_error_deg,final_error_deg,onset_latency_s,time_to_peak_s,t_first_hit,movement_time_s,settle_time_s,peak_speed_deg_s,mean_speed_deg_s,path_length_deg,tortuosity,n_submovements,target_ele_deg,ele_mean_abs_error_deg,ele_initial_error_deg,ele_min_error_deg,ele_final_error_deg,ele_final_bias_deg,ele_efficiency,ele_initial_dir_correct,reached_target,success,session_order
18.06_09.45,210,32.39751814767462,30.541983303980523,0.2795084971874737,30.280614068722354,0.020973920822143555,6.055423974990845,1.4213478565216064,1.400373935699463,1.4213478565216064,88.71162810777464,17.78209127175048,113.47669965625396,22.017713822551826,4,-25.0,8.050320112052196,25.2890625,0.125,20.5390625,20.5390625,0.3256166599272139,True,True,True,2
18.06_09.45,211,39.21774229905587,36.54081304605039,0.5002440810494413,29.090679592614475,0.021392345428466797,0.5799994468688965,4.787773609161377,4.76638126373291,4.787773609161377,113.85747692029508,16.963798488672428,106.55465913789962,9.774740523724997,4,29.171875,11.581889706901066,30.0078125,0.0,19.8671875,-19.8671875,0.47151976430149767,True,True,True,2
18.06_09.45,212,16.30390885179552,17.097612966160657,3.6431472620052365,13.3930792857321,0.0,3.1977362632751465,4.242077589035034,4.242077589035034,4.242077589035034,57.51655570332871,14.357575604300504,141.529719290287,9.913785556755919,7,16.671875,6.413634620771595,16.0703125,0.078125,5.4140625,-5.4140625,0.18439780199981984,True,True,False,2
18.06_09.45,213,28.248238027532906,27.130373936630622,2.850438562747845,28.374328874221852,0.02094292640686035,8.059272527694702,2.3830649852752686,2.362122058868408,2.3830649852752686,68.66576512150438,13.822081310587292,116.89969375154374,21.095536433710468,4,-25.0,10.09670422940359,27.3671875,2.5625,25.59375,25.59375,0.32993868855866154,True,True,True,2
18.06_09.45,214,31.326468940019396,29.133083809744978,0.8125,36.030480938236515,0.020906925201416016,3.807932138442993,2.4224894046783447,2.4015824794769287,2.4224894046783447,89.36782106300384,23.600751728071938,97.67997703905831,15.841256299264312,3,25.0,13.738388881723157,26.3125,0.03125,27.734375,-27.734375,0.43847758081334726,True,True,True,2
18.06_09.45,215,37.83328780340965,34.9168795364434,0.7525996611745185,40.164411257238974,0.0,3.276843786239624,2.2535932064056396,2.2535932064056396,2.2535932064056396,66.36544652839588,27.825068342811463,112.27493073849351,24.944571877259577,2,-33.34375,15.020523753933238,33.671875,0.03125,33.765625,33.765625,0.45818259204085976,True,True,True,2
18.06_09.45,216,25.19668843142202,26.0625,4.00195264839553,11.897206313517735,0.12640118598937988,2.0729315280914307,,,,104.30957354820437,20.27972319511949,199.0537193173363,11.804665191267825,4,25.0,12.938307605347935,25.1171875,0.0,10.2734375,-10.2734375,0.19283829174664108,False,False,False,2
18.06_09.45,217,32.3359375,33.15161445564341,1.005963662676242,25.94376924422618,0.0,0.0837709903717041,3.694133996963501,3.694133996963501,3.694133996963501,60.418132783201486,19.298427177289636,98.29801790773459,10.345760527880199,3,-29.171875,8.891659214784795,32.3359375,0.078125,25.1796875,25.1796875,0.42787564766839375,True,True,True,2
18.06_09.45,218,9.509070633684779,12.61199825562944,6.162081826899595,19.60269433011697,0.0,5.484681129455566,,,,126.65825715319332,18.300953091535234,185.85268887438437,7.064129277361199,6,8.328125,10.89186357548836,9.0234375,0.0234375,15.875,15.875,0.07294370923827012,True,False,False,2
18.06_09.45,219,41.846551233018666,40.62613279670642,2.0700618952098995,34.27259270848813,0.14531540870666504,4.292577266693115,3.1471939086914062,3.001878499984741,3.1471939086914062,90.963369666177,21.143401918267152,96.08092058377876,11.566669764867392,3,29.171875,16.78157109540023,29.6796875,1.8125,22.03515625,-22.03515625,0.5229055193139339,True,True,True,2
18.06_09.45,220,28.380850167850856,25.777661918876706,9.263503656824453,14.502727383582027,0.0,0.041562557220458984,,,,44.03984816454541,20.805254131445622,58.077242455756746,1.532766077829512,3,-25.0,9.62044255868582,24.6875,0.125,0.28125,-0.28125,0.656641604010025,True,False,False,2
18.06_09.45,221,31.560968403433062,30.755899499183993,0.18814991529362962,34.05831754712239,0.0,0.10438179969787598,1.7741758823394775,1.7741758823394775,1.7741758823394775,110.73328307716577,32.21783586781167,114.07518269740929,24.961681164941822,2,29.171875,16.90191041590666,29.71875,0.0,30.515625,-30.515625,0.3992443324937028,False,True,True,2
18.06_09.45,222,29.445345665277156,28.4689086507654,0.8917208170862672,6.642683504475055,0.06328177452087402,8.533732414245605,3.063535451889038,3.000253677368164,3.063535451889038,48.94049780376263,15.901755315437953,158.7817434159055,5.6525294238505985,9,-29.171875,6.32755387189008,28.5703125,0.015625,0.484375,0.484375,0.2735164259522562,True,True,False,2
18.06_09.45,223,35.350978068373514,35.93956855459766,1.741048534648015,31.121157244271238,0.041344642639160156,5.873640775680542,4.293801546096802,4.252456903457642,4.293801546096802,90.41552084776669,19.0332883488159,117.16914148665374,12.58336929553665,6,33.34375,16.582528667134603,34.859375,1.40625,28.4453125,-28.4453125,0.4728879072335726,True,True,True,2
18.06_09.45,224,25.75660280181812,24.434453984157418,1.4630874888399532,1.6828640022295325,0.0,0.8110947608947754,9.61356234550476,9.61356234550476,9.61356234550476,91.34443693099223,16.28457680675223,163.78353142494913,6.110559449667765,7,-25.0,8.242469338693898,23.890625,0.03125,0.4375,-0.4375,0.20166402535657688,True,True,False,2
18.06_09.45,225,17.949026199320848,17.41626871679537,0.2619227283475033,15.499818862348844,0.0,4.085860252380371,4.2550928592681885,4.2550928592681885,4.2550928592681885,143.28885359512324,20.207958235918216,202.77806062568698,6.0760625991706885,8,16.671875,10.595005175646886,17.1640625,0.078125,15.296875,15.296875,0.13487511563367252,True,True,False,2
18.06_09.45,226,33.943891116674074,35.43772045786805,1.3838493640927831,24.931644832671992,0.0,3.941072463989258,4.855602979660034,4.855602979660034,4.855602979660034,75.29026069817894,20.126856973466186,159.7280161827482,14.806693417139513,6,-33.34375,18.816397297285828,33.515625,0.03125,24.90625,24.90625,0.2696954442486786,True,True,True,2
18.06_09.45,227,29.497918524289556,32.26750618759383,1.1730202736952162,25.757583834668964,0.020726442337036133,2.82667875289917,4.412139654159546,4.39141321182251,4.412139654159546,115.28325948299141,23.102695477693214,134.73781827228112,31.095117092528014,4,29.171875,26.895941872427038,29.453125,0.03125,25.75,-25.75,0.27541319292087174,False,True,True,2
18.06_09.45,228,17.33370345282926,11.552360418979317,1.4630874888399532,3.7298367429294075,0.0,7.123713254928589,9.129726648330688,9.129726648330688,9.981209516525269,69.367258787875,16.4422773831964,162.5748254463568,9.7284947138137,8,-4.171875,5.405266980501514,6.359375,0.015625,3.7109375,3.7109375,0.060466155335468015,True,True,False,2
18.06_09.45,229,21.140851636349854,21.944400234687578,8.623315619042655,14.90431927027049,0.06240391731262207,1.8459014892578125,,,,97.23660839178163,16.62175592118364,165.76140245502995,9.550363125569381,9,20.828125,12.229890387916228,21.1171875,0.015625,8.1171875,-8.1171875,0.23974791407775609,True,False,False,2
18.06_09.45,230,38.365239495701054,33.57879845328606,1.141480843301805,31.8882937964702,0.0,8.62974739074707,1.6277589797973633,1.6277589797973633,1.6277589797973633,97.16101921513,18.27163228092476,162.46431931501198,15.010750851704904,5,-29.171875,6.51000813538266,30.03125,0.015625,19.3125,19.3125,0.29567492688933356,True,True,True,2
18.06_09.45,231,8.182522491041881,2.1830311495716224,2.0041460931029955,2.0041460931029955,0.0,3.260209798812866,0.08456683158874512,0.08456683158874512,9.845617771148682,62.69442779928039,21.533868034149773,216.73920360332352,24.012743627280454,6,-4.171875,9.591603030532614,4.0234375,0.0,1.96875,-1.96875,0.0308327845297252,False,True,False,2
